J       CT       CP       eta
0.109   0.1111   0.0580   0.209
0.138   0.1093   0.0585   0.258
0.170   0.1070   0.0591   0.308
0.197   0.1045   0.0593   0.348
0.230   0.1012   0.0596   0.391
0.258   0.0982   0.0601   0.422
0.290   0.0943   0.0601   0.455
0.317   0.0911   0.0601   0.480
0.348   0.0866   0.0597   0.505
0.376   0.0823   0.0595   0.519
0.405   0.0777   0.0589   0.535
0.433   0.0729   0.0583   0.541
0.457   0.0686   0.0573   0.546
0.490   0.0625   0.0561   0.546
0.523   0.0562   0.0543   0.541
0.550   0.0503   0.0525   0.527
0.582   0.0425   0.0496   0.499
