J       CT       CP       eta
0.086   0.0872   0.0375   0.201
0.108   0.0847   0.0375   0.245
0.133   0.0818   0.0376   0.290
0.160   0.0782   0.0376   0.332
0.181   0.0748   0.0375   0.362
0.209   0.0701   0.0370   0.396
0.231   0.0662   0.0364   0.420
0.255   0.0617   0.0357   0.440
0.281   0.0563   0.0346   0.457
0.304   0.0518   0.0336   0.469
0.329   0.0468   0.0323   0.475
0.351   0.0423   0.0312   0.476
0.378   0.0365   0.0294   0.468
0.398   0.0326   0.0282   0.461
0.425   0.0270   0.0263   0.437
0.447   0.0224   0.0248   0.403
0.475   0.0169   0.0230   0.349
