J       CT       CP       eta
0.393   0.0593   0.0429   0.543
0.417   0.0539   0.0414   0.542
0.439   0.0484   0.0397   0.535
0.465   0.0413   0.0371   0.517
0.486   0.0362   0.0353   0.499
0.508   0.0310   0.0330   0.477
0.534   0.0246   0.0303   0.432
0.558   0.0190   0.0277   0.383
0.580   0.0142   0.0255   0.324
0.607   0.0077   0.0223   0.210
0.629   0.0029   0.0199   0.092
0.655   -0.0029   0.0171   -0.110
0.676   -0.0073   0.0149   -0.330
0.695   -0.0115   0.0129   -0.619
0.722   -0.0174   0.0099   -1.268
0.742   -0.0217   0.0077   -2.086
