J       CT       CP       eta
0.107   0.1408   0.0981   0.154
0.134   0.1400   0.0980   0.191
0.165   0.1394   0.0982   0.234
0.194   0.1399   0.0981   0.277
0.223   0.1384   0.0987   0.313
0.255   0.1362   0.0994   0.349
0.284   0.1335   0.1004   0.378
0.314   0.1307   0.1011   0.406
0.343   0.1281   0.1021   0.430
0.371   0.1250   0.1027   0.452
0.402   0.1215   0.1035   0.472
0.431   0.1178   0.1041   0.488
0.457   0.1139   0.1043   0.499
0.484   0.1100   0.1048   0.508
0.513   0.1056   0.1052   0.515
0.547   0.1000   0.1054   0.519
0.576   0.0943   0.1053   0.516
