J       CT       CP       eta
0.444   0.0728   0.0631   0.511
0.473   0.0685   0.0627   0.517
0.504   0.0639   0.0618   0.520
0.530   0.0590   0.0609   0.513
0.552   0.0546   0.0595   0.506
0.587   0.0461   0.0569   0.475
0.610   0.0402   0.0546   0.449
0.634   0.0347   0.0523   0.420
0.665   0.0263   0.0486   0.360
0.691   0.0193   0.0456   0.293
0.720   0.0118   0.0421   0.203
0.742   0.0065   0.0395   0.122
0.772   -0.0012   0.0356   -0.026
0.793   -0.0066   0.0330   -0.160
0.819   -0.0135   0.0294   -0.377
0.843   -0.0196   0.0263   -0.626
0.876   -0.0281   0.0219   -1.123
0.907   -0.0366   0.0175   -1.900
0.930   -0.0428   0.0140   -2.850
0.960   -0.0509   0.0096   -5.101
