J       CT       CP       eta
0.093   0.0917   0.0385   0.222
0.121   0.0894   0.0388   0.280
0.146   0.0879   0.0392   0.328
0.170   0.0858   0.0394   0.370
0.195   0.0831   0.0396   0.408
0.218   0.0804   0.0398   0.441
0.242   0.0771   0.0397   0.470
0.267   0.0732   0.0395   0.494
0.292   0.0683   0.0387   0.515
0.314   0.0627   0.0373   0.529
0.335   0.0578   0.0360   0.538
0.358   0.0520   0.0342   0.543
0.380   0.0465   0.0324   0.546
0.406   0.0408   0.0304   0.545
0.429   0.0364   0.0289   0.540
0.453   0.0317   0.0272   0.527
0.484   0.0256   0.0249   0.499
