J       CT       CP       eta
0.084   0.1084   0.0524   0.174
0.111   0.1068   0.0527   0.225
0.132   0.1054   0.0529   0.262
0.158   0.1035   0.0532   0.307
0.176   0.1021   0.0533   0.338
0.199   0.1003   0.0534   0.374
0.224   0.0981   0.0536   0.410
0.245   0.0961   0.0537   0.439
0.265   0.0942   0.0537   0.465
0.290   0.0916   0.0538   0.495
0.312   0.0893   0.0538   0.518
0.335   0.0867   0.0538   0.539
0.353   0.0846   0.0538   0.556
0.374   0.0820   0.0537   0.571
0.397   0.0789   0.0536   0.585
0.419   0.0757   0.0533   0.595
0.440   0.0722   0.0528   0.602
