J       CT       CP       eta
0.103   0.0810   0.0329   0.253
0.130   0.0790   0.0334   0.307
0.156   0.0763   0.0337   0.354
0.185   0.0727   0.0338   0.398
0.211   0.0682   0.0334   0.430
0.238   0.0623   0.0323   0.458
0.266   0.0556   0.0307   0.481
0.289   0.0502   0.0293   0.496
0.319   0.0440   0.0274   0.513
0.344   0.0397   0.0262   0.523
0.372   0.0351   0.0247   0.529
0.397   0.0308   0.0233   0.525
0.423   0.0265   0.0218   0.513
0.446   0.0225   0.0205   0.490
0.473   0.0179   0.0189   0.448
0.498   0.0133   0.0171   0.386
0.525   0.0085   0.0153   0.291
