J       CT       CP       eta
0.443   0.0752   0.0550   0.606
0.470   0.0715   0.0546   0.615
0.496   0.0675   0.0540   0.620
0.525   0.0626   0.0531   0.619
0.549   0.0576   0.0515   0.614
0.576   0.0506   0.0487   0.597
0.603   0.0431   0.0453   0.574
0.630   0.0361   0.0418   0.544
0.654   0.0300   0.0386   0.508
0.682   0.0236   0.0352   0.457
0.706   0.0179   0.0321   0.395
0.739   0.0110   0.0282   0.287
0.764   0.0059   0.0254   0.177
0.790   0.0004   0.0223   0.015
0.817   -0.0053   0.0190   -0.230
0.845   -0.0109   0.0157   -0.589
0.869   -0.0160   0.0127   -1.093
0.896   -0.0220   0.0090   -2.185
