J       CT       CP       eta
0.203   0.0908   0.0470   0.391
0.237   0.0893   0.0474   0.446
0.272   0.0868   0.0475   0.497
0.306   0.0842   0.0477   0.540
0.342   0.0812   0.0478   0.581
0.378   0.0776   0.0477   0.615
0.412   0.0742   0.0475   0.644
0.442   0.0704   0.0471   0.661
0.479   0.0653   0.0464   0.674
0.512   0.0596   0.0449   0.680
0.544   0.0526   0.0424   0.676
0.582   0.0430   0.0380   0.658
0.605   0.0374   0.0352   0.643
0.645   0.0282   0.0300   0.606
0.672   0.0233   0.0273   0.574
