J       CT       CP       eta
0.454   0.0823   0.0700   0.533
0.486   0.0776   0.0697   0.541
0.513   0.0732   0.0693   0.541
0.537   0.0684   0.0685   0.536
0.561   0.0627   0.0669   0.526
0.586   0.0556   0.0643   0.507
0.616   0.0460   0.0599   0.474
0.642   0.0387   0.0563   0.441
0.671   0.0310   0.0525   0.396
0.700   0.0236   0.0488   0.338
0.730   0.0159   0.0452   0.257
0.754   0.0104   0.0427   0.183
0.778   0.0042   0.0401   0.082
0.812   -0.0041   0.0363   -0.091
0.834   -0.0101   0.0337   -0.250
0.864   -0.0179   0.0302   -0.513
0.888   -0.0242   0.0273   -0.789
0.917   -0.0315   0.0235   -1.230
0.947   -0.0398   0.0193   -1.953
0.974   -0.0474   0.0154   -3.005
