J       CT       CP       eta
0.129   0.0852   0.0399   0.275
0.161   0.0801   0.0396   0.325
0.194   0.0744   0.0389   0.370
0.224   0.0685   0.0378   0.406
0.260   0.0611   0.0362   0.439
0.290   0.0549   0.0345   0.461
0.321   0.0484   0.0326   0.476
0.355   0.0422   0.0308   0.486
0.389   0.0359   0.0288   0.485
0.413   0.0316   0.0273   0.477
0.449   0.0248   0.0250   0.446
0.482   0.0185   0.0227   0.391
0.508   0.0134   0.0208   0.327
0.547   0.0053   0.0176   0.165
0.577   -0.0009   0.0150   -0.036
0.609   -0.0079   0.0121   -0.397
0.641   -0.0151   0.0089   -1.086
