J       CT       CP       eta
0.099   0.1192   0.0826   0.142
0.124   0.1185   0.0819   0.179
0.153   0.1180   0.0807   0.224
0.177   0.1173   0.0797   0.261
0.205   0.1182   0.0776   0.312
0.229   0.1181   0.0768   0.352
0.263   0.1153   0.0767   0.395
0.289   0.1129   0.0767   0.425
0.317   0.1099   0.0766   0.454
0.344   0.1067   0.0764   0.480
0.371   0.1039   0.0764   0.504
0.397   0.1010   0.0764   0.525
0.425   0.0977   0.0763   0.544
0.446   0.0950   0.0761   0.557
0.479   0.0902   0.0757   0.571
0.500   0.0873   0.0755   0.578
0.531   0.0823   0.0751   0.582
