J       CT       CP       eta
0.408   0.0553   0.0397   0.569
0.433   0.0500   0.0383   0.564
0.458   0.0438   0.0366   0.549
0.480   0.0385   0.0351   0.528
0.508   0.0314   0.0331   0.483
0.529   0.0258   0.0315   0.433
0.552   0.0195   0.0297   0.361
0.575   0.0128   0.0279   0.265
0.602   0.0046   0.0254   0.110
0.623   -0.0019   0.0234   -0.052
0.652   -0.0110   0.0207   -0.347
0.672   -0.0171   0.0189   -0.610
0.701   -0.0265   0.0160   -1.162
0.720   -0.0325   0.0141   -1.659
0.749   -0.0421   0.0112   -2.822
0.775   -0.0512   0.0085   -4.685
