J       CT       CP       eta
0.131   0.0692   0.0296   0.306
0.162   0.0652   0.0292   0.361
0.195   0.0598   0.0287   0.407
0.233   0.0532   0.0279   0.444
0.264   0.0475   0.0272   0.461
0.299   0.0405   0.0263   0.462
0.329   0.0340   0.0254   0.441
0.361   0.0267   0.0243   0.397
0.394   0.0189   0.0232   0.320
0.427   0.0105   0.0219   0.204
0.464   0.0007   0.0202   0.015
0.498   -0.0085   0.0187   -0.225
0.529   -0.0174   0.0171   -0.539
0.563   -0.0272   0.0154   -0.993
0.595   -0.0372   0.0136   -1.627
0.622   -0.0454   0.0120   -2.352
0.657   -0.0565   0.0098   -3.778
