J       CT       CP       eta
0.103   0.1040   0.0449   0.239
0.132   0.0990   0.0441   0.297
0.156   0.0954   0.0436   0.342
0.183   0.0909   0.0429   0.387
0.212   0.0865   0.0424   0.431
0.237   0.0822   0.0418   0.466
0.264   0.0772   0.0409   0.499
0.291   0.0724   0.0401   0.526
0.319   0.0670   0.0390   0.548
0.345   0.0618   0.0378   0.563
0.370   0.0564   0.0365   0.571
0.397   0.0502   0.0350   0.570
0.420   0.0452   0.0338   0.563
0.447   0.0385   0.0321   0.537
0.472   0.0321   0.0305   0.496
0.500   0.0245   0.0287   0.425
0.525   0.0174   0.0271   0.336
