J       CT       CP       eta
0.101   0.1499   0.0848   0.179
0.124   0.1480   0.0848   0.216
0.148   0.1459   0.0849   0.254
0.170   0.1430   0.0842   0.289
0.197   0.1406   0.0844   0.328
0.221   0.1382   0.0844   0.361
0.247   0.1347   0.0841   0.395
0.273   0.1308   0.0837   0.426
0.296   0.1269   0.0832   0.451
0.321   0.1221   0.0821   0.478
0.349   0.1148   0.0797   0.503
0.372   0.1098   0.0784   0.521
0.393   0.1050   0.0769   0.537
0.416   0.0995   0.0751   0.551
0.444   0.0933   0.0731   0.567
0.468   0.0880   0.0713   0.577
0.491   0.0831   0.0697   0.584
