J       CT       CP       eta
0.203   0.1447   0.0954   0.307
0.259   0.1382   0.0944   0.379
0.309   0.1299   0.0927   0.433
0.361   0.1211   0.0909   0.481
0.419   0.1111   0.0891   0.522
0.489   0.0961   0.0850   0.553
0.533   0.0854   0.0811   0.561
0.597   0.0727   0.0771   0.563
0.640   0.0618   0.0726   0.545
0.703   0.0492   0.0683   0.507
0.742   0.0394   0.0638   0.458
0.812   0.0211   0.0555   0.309
0.854   0.0071   0.0480   0.127
0.917   -0.0088   0.0410   -0.197
0.962   -0.0237   0.0336   -0.680
