J       CT       CP       eta
0.109   0.0777   0.0360   0.235
0.137   0.0738   0.0359   0.282
0.164   0.0691   0.0355   0.320
0.194   0.0644   0.0347   0.360
0.225   0.0590   0.0338   0.393
0.254   0.0542   0.0329   0.418
0.286   0.0484   0.0317   0.436
0.314   0.0431   0.0303   0.446
0.346   0.0370   0.0285   0.448
0.369   0.0328   0.0272   0.445
0.407   0.0251   0.0245   0.418
0.432   0.0207   0.0230   0.389
0.462   0.0145   0.0208   0.323
0.490   0.0090   0.0189   0.235
0.520   0.0032   0.0166   0.099
0.547   -0.0023   0.0143   -0.088
0.578   -0.0090   0.0114   -0.460
