J       CT       CP       eta
0.097   0.0524   0.0240   0.211
0.122   0.0492   0.0237   0.254
0.150   0.0454   0.0232   0.292
0.176   0.0413   0.0226   0.321
0.204   0.0374   0.0220   0.348
0.232   0.0333   0.0213   0.363
0.258   0.0296   0.0206   0.371
0.288   0.0251   0.0197   0.367
0.312   0.0215   0.0189   0.355
0.341   0.0166   0.0176   0.321
0.368   0.0119   0.0163   0.269
0.396   0.0070   0.0149   0.185
0.423   0.0021   0.0135   0.065
0.450   -0.0033   0.0117   -0.125
0.474   -0.0080   0.0102   -0.368
