J       CT       CP       eta
0.373   0.0740   0.0489   0.565
0.394   0.0703   0.0482   0.574
0.414   0.0663   0.0473   0.580
0.436   0.0612   0.0458   0.583
0.458   0.0563   0.0442   0.584
0.481   0.0508   0.0423   0.579
0.504   0.0459   0.0404   0.573
0.527   0.0404   0.0382   0.558
0.550   0.0350   0.0360   0.535
0.569   0.0308   0.0343   0.510
0.593   0.0254   0.0320   0.470
0.617   0.0200   0.0295   0.419
0.634   0.0164   0.0278   0.374
0.660   0.0107   0.0251   0.282
0.680   0.0062   0.0228   0.184
0.705   0.0006   0.0198   0.021
0.725   -0.0037   0.0176   -0.151
0.746   -0.0087   0.0147   -0.441
0.768   -0.0135   0.0120   -0.864
0.789   -0.0185   0.0092   -1.590
