J       CT       CP       eta
0.107   0.1119   0.0559   0.214
0.133   0.1107   0.0562   0.263
0.159   0.1092   0.0565   0.307
0.184   0.1074   0.0566   0.350
0.210   0.1055   0.0572   0.387
0.239   0.1025   0.0575   0.426
0.264   0.0996   0.0576   0.457
0.292   0.0970   0.0582   0.488
0.319   0.0935   0.0583   0.512
0.345   0.0894   0.0578   0.534
0.371   0.0853   0.0574   0.551
0.393   0.0820   0.0572   0.564
0.419   0.0770   0.0562   0.575
0.444   0.0723   0.0552   0.582
0.471   0.0662   0.0535   0.582
0.495   0.0607   0.0516   0.582
0.523   0.0538   0.0490   0.575
