J       CT       CP       eta
0.449   0.0962   0.0735   0.587
0.473   0.0930   0.0733   0.601
0.499   0.0898   0.0733   0.612
0.529   0.0851   0.0725   0.621
0.555   0.0808   0.0716   0.626
0.579   0.0763   0.0707   0.625
0.604   0.0712   0.0690   0.623
0.623   0.0670   0.0677   0.617
0.655   0.0595   0.0647   0.603
0.683   0.0527   0.0615   0.585
0.712   0.0444   0.0575   0.550
0.732   0.0396   0.0547   0.529
0.758   0.0330   0.0511   0.490
0.784   0.0264   0.0469   0.441
0.817   0.0180   0.0417   0.352
0.835   0.0138   0.0391   0.296
0.869   0.0064   0.0345   0.161
0.895   0.0006   0.0307   0.019
0.919   -0.0050   0.0269   -0.170
0.948   -0.0118   0.0221   -0.507
0.975   -0.0177   0.0180   -0.959
0.999   -0.0233   0.0139   -1.670
1.026   -0.0299   0.0092   -3.331
