J       CT       CP       eta
0.500   0.0535   0.0648   0.412
0.528   0.0482   0.0637   0.399
0.557   0.0422   0.0620   0.380
0.583   0.0367   0.0601   0.357
0.617   0.0291   0.0576   0.311
0.652   0.0203   0.0547   0.241
0.682   0.0146   0.0528   0.189
0.708   0.0078   0.0496   0.112
0.735   0.0013   0.0471   0.020
0.768   -0.0077   0.0433   -0.137
0.796   -0.0137   0.0407   -0.269
0.828   -0.0204   0.0379   -0.445
0.852   -0.0273   0.0347   -0.671
0.884   -0.0350   0.0316   -0.978
0.911   -0.0416   0.0285   -1.332
0.943   -0.0504   0.0243   -1.953
0.977   -0.0601   0.0200   -2.940
1.002   -0.0672   0.0166   -4.061
1.034   -0.0768   0.0121   -6.588
