J       CT       CP       eta
0.095   0.1095   0.0582   0.178
0.118   0.1093   0.0584   0.221
0.143   0.1091   0.0589   0.266
0.167   0.1075   0.0593   0.303
0.193   0.1054   0.0596   0.341
0.219   0.1031   0.0599   0.377
0.241   0.1012   0.0602   0.406
0.267   0.0990   0.0606   0.436
0.288   0.0972   0.0610   0.459
0.312   0.0943   0.0612   0.481
0.336   0.0918   0.0614   0.503
0.360   0.0885   0.0612   0.521
0.383   0.0854   0.0612   0.535
0.407   0.0825   0.0610   0.550
0.431   0.0793   0.0612   0.558
0.455   0.0759   0.0608   0.568
0.478   0.0719   0.0604   0.569
