J       CT       CP       eta
0.127   0.1051   0.0599   0.223
0.160   0.1032   0.0601   0.275
0.189   0.1013   0.0603   0.317
0.222   0.0994   0.0605   0.365
0.259   0.0966   0.0609   0.411
0.291   0.0937   0.0612   0.446
0.324   0.0903   0.0614   0.477
0.355   0.0867   0.0614   0.501
0.384   0.0832   0.0615   0.520
0.416   0.0788   0.0613   0.534
0.451   0.0730   0.0606   0.543
0.480   0.0669   0.0593   0.542
0.511   0.0602   0.0573   0.537
0.545   0.0516   0.0542   0.519
0.571   0.0451   0.0514   0.501
0.609   0.0355   0.0471   0.459
0.641   0.0279   0.0435   0.411
