J       CT       CP       eta
0.096   0.0940   0.0424   0.214
0.121   0.0915   0.0427   0.258
0.147   0.0885   0.0430   0.302
0.169   0.0861   0.0434   0.337
0.195   0.0826   0.0436   0.369
0.219   0.0794   0.0435   0.399
0.244   0.0757   0.0432   0.427
0.265   0.0723   0.0427   0.449
0.290   0.0692   0.0425   0.472
0.315   0.0654   0.0419   0.492
0.337   0.0622   0.0414   0.506
0.360   0.0588   0.0408   0.519
0.383   0.0551   0.0400   0.528
0.411   0.0503   0.0387   0.533
0.430   0.0472   0.0379   0.535
0.456   0.0417   0.0362   0.527
0.479   0.0374   0.0348   0.516
