J       CT       CP       eta
0.102   0.0519   0.0226   0.235
0.130   0.0487   0.0222   0.285
0.154   0.0460   0.0218   0.324
0.183   0.0421   0.0213   0.362
0.208   0.0387   0.0208   0.388
0.236   0.0349   0.0201   0.409
0.263   0.0307   0.0192   0.419
0.289   0.0267   0.0185   0.417
0.311   0.0229   0.0176   0.404
0.337   0.0183   0.0165   0.373
0.367   0.0128   0.0151   0.312
0.393   0.0082   0.0138   0.233
0.415   0.0037   0.0124   0.123
0.444   -0.0019   0.0107   -0.078
0.466   -0.0062   0.0092   -0.314
0.494   -0.0118   0.0075   -0.778
