J       CT       CP       eta
0.130   0.0982   0.0558   0.228
0.162   0.0973   0.0557   0.284
0.197   0.0956   0.0557   0.337
0.229   0.0934   0.0559   0.383
0.260   0.0905   0.0559   0.421
0.299   0.0861   0.0558   0.462
0.332   0.0820   0.0555   0.490
0.363   0.0775   0.0548   0.513
0.393   0.0727   0.0539   0.530
0.426   0.0673   0.0528   0.542
0.457   0.0625   0.0516   0.554
0.492   0.0567   0.0498   0.561
0.519   0.0526   0.0485   0.563
0.562   0.0449   0.0455   0.554
0.591   0.0396   0.0434   0.540
0.623   0.0334   0.0405   0.514
0.656   0.0264   0.0370   0.468
