J       CT       CP       eta
0.154   0.0820   0.0482   0.262
0.196   0.0774   0.0481   0.315
0.231   0.0713   0.0471   0.350
0.280   0.0637   0.0459   0.388
0.314   0.0587   0.0447   0.413
0.353   0.0534   0.0436   0.433
0.394   0.0473   0.0420   0.444
0.432   0.0411   0.0399   0.445
0.476   0.0335   0.0373   0.428
0.517   0.0250   0.0338   0.383
0.547   0.0193   0.0315   0.335
0.593   0.0097   0.0273   0.212
0.632   0.0016   0.0237   0.043
0.671   -0.0064   0.0199   -0.214
0.708   -0.0142   0.0162   -0.620
0.746   -0.0226   0.0122   -1.381
0.791   -0.0326   0.0073   -3.531
