J       CT       CP       eta
0.145   0.1116   0.0572   0.283
0.180   0.1084   0.0576   0.339
0.216   0.1047   0.0580   0.390
0.256   0.0997   0.0581   0.439
0.295   0.0941   0.0579   0.480
0.328   0.0891   0.0573   0.510
0.363   0.0820   0.0558   0.534
0.402   0.0736   0.0534   0.554
0.440   0.0655   0.0508   0.567
0.481   0.0556   0.0469   0.570
0.506   0.0503   0.0449   0.567
0.546   0.0416   0.0415   0.547
0.584   0.0339   0.0385   0.514
0.620   0.0265   0.0358   0.460
0.656   0.0188   0.0326   0.378
0.693   0.0101   0.0289   0.243
0.727   0.0020   0.0253   0.057
