J       CT       CP       eta
0.092   0.0827   0.0359   0.212
0.116   0.0802   0.0358   0.260
0.138   0.0779   0.0355   0.302
0.158   0.0757   0.0354   0.338
0.183   0.0727   0.0351   0.380
0.207   0.0697   0.0348   0.414
0.229   0.0667   0.0345   0.442
0.253   0.0633   0.0340   0.472
0.273   0.0601   0.0335   0.489
0.302   0.0551   0.0324   0.513
0.320   0.0514   0.0315   0.523
0.342   0.0478   0.0307   0.533
0.365   0.0436   0.0295   0.540
0.386   0.0397   0.0284   0.540
0.407   0.0360   0.0274   0.536
0.435   0.0303   0.0255   0.518
0.457   0.0254   0.0238   0.488
