J       CT       CP       eta
0.089   0.1066   0.0484   0.197
0.117   0.1051   0.0491   0.250
0.149   0.1015   0.0490   0.308
0.170   0.0992   0.0491   0.343
0.196   0.0957   0.0490   0.384
0.226   0.0935   0.0496   0.427
0.251   0.0886   0.0486   0.459
0.279   0.0853   0.0486   0.489
0.306   0.0808   0.0480   0.515
0.332   0.0757   0.0468   0.537
0.358   0.0707   0.0456   0.555
0.383   0.0653   0.0439   0.569
0.412   0.0590   0.0421   0.576
0.440   0.0522   0.0399   0.576
0.463   0.0467   0.0377   0.573
0.490   0.0398   0.0351   0.556
0.516   0.0334   0.0324   0.532
