J       CT       CP       eta
0.106   0.1182   0.0576   0.217
0.132   0.1151   0.0576   0.264
0.156   0.1128   0.0580   0.303
0.179   0.1098   0.0577   0.341
0.206   0.1065   0.0577   0.381
0.236   0.1031   0.0578   0.420
0.262   0.1000   0.0578   0.453
0.288   0.0963   0.0574   0.483
0.315   0.0928   0.0573   0.510
0.341   0.0897   0.0573   0.533
0.366   0.0854   0.0567   0.551
0.388   0.0821   0.0563   0.566
0.413   0.0772   0.0552   0.578
0.442   0.0710   0.0536   0.585
0.465   0.0651   0.0515   0.588
0.495   0.0568   0.0482   0.583
0.519   0.0498   0.0451   0.574
