J       CT       CP       eta
0.086   0.0865   0.0381   0.196
0.106   0.0842   0.0380   0.235
0.135   0.0804   0.0379   0.286
0.155   0.0775   0.0376   0.320
0.179   0.0739   0.0372   0.355
0.205   0.0693   0.0366   0.388
0.229   0.0649   0.0360   0.413
0.253   0.0606   0.0352   0.435
0.276   0.0560   0.0341   0.453
0.303   0.0502   0.0329   0.463
0.326   0.0454   0.0316   0.468
0.347   0.0409   0.0304   0.467
0.373   0.0353   0.0287   0.459
0.392   0.0312   0.0274   0.446
0.418   0.0249   0.0255   0.408
0.444   0.0194   0.0236   0.365
0.465   0.0146   0.0218   0.311
