J       CT       CP       eta
0.415   0.0723   0.0559   0.537
0.439   0.0662   0.0539   0.540
0.470   0.0582   0.0510   0.536
0.489   0.0535   0.0492   0.532
0.518   0.0456   0.0460   0.514
0.539   0.0404   0.0437   0.498
0.572   0.0317   0.0399   0.456
0.589   0.0272   0.0379   0.423
0.618   0.0197   0.0342   0.356
0.638   0.0148   0.0318   0.297
0.672   0.0061   0.0273   0.151
0.695   0.0005   0.0244   0.016
0.722   -0.0066   0.0203   -0.235
0.747   -0.0128   0.0169   -0.565
0.772   -0.0182   0.0137   -1.029
0.798   -0.0248   0.0098   -2.026
