J       CT       CP       eta
0.093   0.1413   0.0766   0.172
0.123   0.1393   0.0774   0.221
0.146   0.1377   0.0782   0.257
0.170   0.1359   0.0793   0.291
0.192   0.1338   0.0799   0.322
0.218   0.1311   0.0805   0.355
0.244   0.1281   0.0810   0.386
0.269   0.1249   0.0813   0.414
0.292   0.1219   0.0815   0.437
0.318   0.1185   0.0818   0.461
0.343   0.1151   0.0819   0.482
0.364   0.1119   0.0818   0.498
0.388   0.1083   0.0817   0.514
0.412   0.1045   0.0814   0.528
0.436   0.1004   0.0810   0.541
0.460   0.0962   0.0803   0.551
0.484   0.0919   0.0795   0.560
