J       CT       CP       eta
0.085   0.0893   0.0366   0.207
0.107   0.0871   0.0365   0.256
0.132   0.0851   0.0367   0.307
0.152   0.0831   0.0366   0.344
0.171   0.0809   0.0366   0.378
0.196   0.0783   0.0367   0.418
0.217   0.0755   0.0366   0.448
0.238   0.0733   0.0367   0.474
0.261   0.0700   0.0366   0.498
0.280   0.0661   0.0360   0.515
0.305   0.0613   0.0350   0.534
0.327   0.0569   0.0340   0.547
0.347   0.0533   0.0331   0.558
0.368   0.0483   0.0317   0.561
0.387   0.0438   0.0304   0.559
0.408   0.0393   0.0290   0.553
0.427   0.0349   0.0276   0.540
