J       CT       CP       eta
0.370   0.0554   0.0348   0.589
0.392   0.0507   0.0334   0.595
0.415   0.0447   0.0313   0.592
0.435   0.0400   0.0298   0.584
0.459   0.0346   0.0281   0.567
0.479   0.0298   0.0263   0.542
0.502   0.0243   0.0244   0.500
0.524   0.0191   0.0224   0.447
0.550   0.0126   0.0199   0.348
0.572   0.0071   0.0176   0.230
0.594   0.0014   0.0154   0.056
0.613   -0.0038   0.0132   -0.176
0.638   -0.0101   0.0106   -0.608
0.657   -0.0153   0.0085   -1.181
0.681   -0.0215   0.0061   -2.408
