J       CT       CP       eta
0.188   0.1274   0.0712   0.336
0.238   0.1196   0.0704   0.405
0.285   0.1131   0.0699   0.461
0.335   0.1014   0.0666   0.510
0.379   0.0916   0.0637   0.545
0.437   0.0774   0.0589   0.575
0.484   0.0675   0.0558   0.585
0.533   0.0557   0.0515   0.576
0.585   0.0425   0.0465   0.534
0.620   0.0330   0.0427   0.479
0.678   0.0171   0.0365   0.318
0.726   0.0034   0.0312   0.078
0.770   -0.0106   0.0252   -0.323
0.816   -0.0259   0.0189   -1.117
0.863   -0.0410   0.0127   -2.793
0.911   -0.0571   0.0062   -8.417
