J       CT       CP       eta
0.108   0.1055   0.0475   0.239
0.130   0.1015   0.0470   0.280
0.159   0.0961   0.0460   0.331
0.184   0.0905   0.0449   0.371
0.207   0.0859   0.0440   0.405
0.235   0.0795   0.0425   0.440
0.261   0.0735   0.0412   0.466
0.292   0.0668   0.0400   0.487
0.318   0.0597   0.0382   0.497
0.343   0.0534   0.0367   0.498
0.371   0.0463   0.0351   0.489
0.398   0.0393   0.0334   0.468
0.419   0.0335   0.0320   0.439
0.446   0.0262   0.0302   0.388
0.476   0.0174   0.0280   0.297
0.497   0.0113   0.0264   0.213
0.523   0.0033   0.0243   0.071
