J       CT       CP       eta
0.172   0.1266   0.0686   0.318
0.216   0.1205   0.0681   0.382
0.264   0.1115   0.0663   0.444
0.302   0.1041   0.0647   0.485
0.355   0.0926   0.0615   0.534
0.393   0.0841   0.0588   0.563
0.444   0.0724   0.0549   0.585
0.476   0.0650   0.0522   0.592
0.524   0.0534   0.0481   0.582
0.580   0.0394   0.0428   0.533
0.609   0.0318   0.0398   0.486
0.662   0.0164   0.0336   0.324
0.701   0.0051   0.0289   0.123
0.742   -0.0079   0.0237   -0.248
0.788   -0.0226   0.0177   -1.005
0.831   -0.0365   0.0118   -2.568
