J       CT       CP       eta
0.391   0.0889   0.0606   0.575
0.413   0.0829   0.0583   0.588
0.432   0.0776   0.0562   0.597
0.460   0.0693   0.0530   0.602
0.480   0.0632   0.0506   0.600
0.506   0.0555   0.0475   0.591
0.525   0.0499   0.0453   0.578
0.551   0.0415   0.0419   0.546
0.574   0.0342   0.0390   0.503
0.602   0.0259   0.0358   0.436
0.620   0.0194   0.0332   0.363
0.648   0.0102   0.0294   0.226
0.666   0.0043   0.0273   0.104
0.693   -0.0050   0.0236   -0.147
0.718   -0.0144   0.0268   -0.387
0.718   -0.0146   0.0272   -0.386
0.718   -0.0146   0.0272   -0.386
0.718   -0.0146   0.0272   -0.386
0.718   -0.0146   0.0272   -0.386
0.718   -0.0146   0.0272   -0.386
