J       CT       CP       eta
0.117   0.0963   0.0437   0.257
0.144   0.0916   0.0430   0.307
0.175   0.0851   0.0414   0.361
0.206   0.0781   0.0397   0.406
0.235   0.0720   0.0383   0.442
0.269   0.0650   0.0362   0.483
0.300   0.0590   0.0349   0.508
0.331   0.0529   0.0333   0.524
0.362   0.0463   0.0319   0.526
0.390   0.0403   0.0305   0.517
0.422   0.0331   0.0285   0.490
0.451   0.0259   0.0269   0.435
0.483   0.0174   0.0249   0.338
0.517   0.0079   0.0227   0.179
0.537   0.0019   0.0212   0.048
0.572   -0.0078   0.0184   -0.242
0.603   -0.0171   0.0162   -0.639
