J       CT       CP       eta
0.128   0.0976   0.0476   0.261
0.159   0.0921   0.0466   0.313
0.190   0.0864   0.0457   0.360
0.226   0.0792   0.0442   0.405
0.256   0.0734   0.0431   0.437
0.288   0.0668   0.0416   0.462
0.323   0.0596   0.0401   0.479
0.349   0.0536   0.0388   0.483
0.383   0.0456   0.0370   0.472
0.416   0.0372   0.0349   0.444
0.451   0.0284   0.0327   0.391
0.479   0.0206   0.0307   0.322
0.514   0.0115   0.0285   0.208
0.547   0.0022   0.0261   0.046
0.568   -0.0041   0.0245   -0.094
0.605   -0.0145   0.0217   -0.405
0.637   -0.0249   0.0188   -0.846
