J       CT       CP       eta
0.121   0.0846   0.0433   0.236
0.155   0.0790   0.0426   0.287
0.188   0.0741   0.0420   0.331
0.224   0.0672   0.0408   0.369
0.255   0.0621   0.0398   0.397
0.291   0.0561   0.0384   0.425
0.328   0.0494   0.0368   0.441
0.359   0.0445   0.0353   0.452
0.396   0.0377   0.0332   0.450
0.428   0.0318   0.0313   0.434
0.466   0.0241   0.0286   0.392
0.498   0.0173   0.0260   0.332
0.529   0.0109   0.0236   0.245
0.563   0.0035   0.0204   0.096
0.603   -0.0056   0.0164   -0.204
0.630   -0.0117   0.0136   -0.543
0.663   -0.0196   0.0099   -1.313
