J       CT       CP       eta
0.416   0.0649   0.0505   0.534
0.440   0.0601   0.0490   0.540
0.466   0.0548   0.0472   0.541
0.489   0.0497   0.0454   0.536
0.517   0.0439   0.0431   0.527
0.538   0.0395   0.0413   0.515
0.573   0.0328   0.0384   0.490
0.593   0.0290   0.0368   0.467
0.623   0.0226   0.0339   0.415
0.648   0.0168   0.0313   0.348
0.674   0.0107   0.0281   0.257
0.699   0.0050   0.0252   0.138
0.724   -0.0010   0.0222   -0.032
0.750   -0.0075   0.0191   -0.295
0.775   -0.0138   0.0157   -0.681
0.801   -0.0202   0.0121   -1.336
