J       CT       CP       eta
0.408   0.0822   0.0595   0.564
0.433   0.0790   0.0593   0.577
0.455   0.0759   0.0589   0.586
0.479   0.0725   0.0584   0.595
0.502   0.0689   0.0577   0.600
0.526   0.0653   0.0569   0.603
0.549   0.0616   0.0560   0.603
0.578   0.0567   0.0547   0.599
0.600   0.0526   0.0534   0.591
0.623   0.0487   0.0522   0.581
0.649   0.0432   0.0501   0.560
0.676   0.0374   0.0477   0.530
0.698   0.0324   0.0455   0.497
0.719   0.0268   0.0428   0.450
0.748   0.0184   0.0386   0.357
0.770   0.0124   0.0356   0.268
0.790   0.0066   0.0325   0.161
0.814   -0.0003   0.0285   -0.008
0.845   -0.0099   0.0225   -0.372
0.860   -0.0142   0.0198   -0.617
0.893   -0.0241   0.0133   -1.618
0.918   -0.0309   0.0086   -3.283
