J       CT       CP       eta
0.107   0.1054   0.0509   0.222
0.133   0.1035   0.0516   0.266
0.157   0.1015   0.0524   0.305
0.187   0.0979   0.0528   0.347
0.215   0.0946   0.0534   0.380
0.242   0.0904   0.0535   0.408
0.267   0.0860   0.0533   0.431
0.293   0.0811   0.0529   0.448
0.319   0.0757   0.0523   0.461
0.345   0.0703   0.0513   0.472
0.370   0.0652   0.0502   0.481
0.398   0.0601   0.0490   0.487
0.424   0.0552   0.0476   0.491
0.453   0.0490   0.0457   0.486
0.478   0.0446   0.0442   0.482
0.503   0.0393   0.0424   0.467
0.528   0.0341   0.0403   0.446
