J       CT       CP       eta
0.105   0.0873   0.0380   0.241
0.131   0.0851   0.0382   0.292
0.157   0.0828   0.0385   0.336
0.184   0.0799   0.0386   0.381
0.212   0.0769   0.0386   0.422
0.239   0.0737   0.0386   0.456
0.266   0.0702   0.0384   0.486
0.291   0.0670   0.0382   0.510
0.317   0.0633   0.0378   0.531
0.343   0.0597   0.0374   0.548
0.369   0.0554   0.0365   0.561
0.393   0.0500   0.0349   0.563
0.420   0.0432   0.0326   0.556
0.446   0.0363   0.0302   0.536
0.467   0.0317   0.0287   0.515
0.500   0.0236   0.0259   0.455
0.524   0.0170   0.0233   0.383
