J       CT       CP       eta
0.446   0.0683   0.0509   0.599
0.474   0.0637   0.0499   0.604
0.498   0.0597   0.0489   0.607
0.522   0.0548   0.0474   0.603
0.549   0.0496   0.0457   0.595
0.578   0.0437   0.0437   0.577
0.603   0.0371   0.0410   0.546
0.628   0.0306   0.0381   0.505
0.655   0.0238   0.0349   0.445
0.680   0.0170   0.0316   0.366
0.706   0.0095   0.0278   0.243
0.740   0.0002   0.0226   0.008
0.766   -0.0073   0.0182   -0.307
0.790   -0.0140   0.0139   -0.796
0.817   -0.0214   0.0092   -1.908
