J       CT       CP       eta
0.413   0.0826   0.0586   0.581
0.437   0.0791   0.0583   0.593
0.460   0.0758   0.0578   0.603
0.487   0.0708   0.0566   0.610
0.511   0.0669   0.0557   0.614
0.534   0.0632   0.0549   0.614
0.562   0.0586   0.0536   0.614
0.593   0.0529   0.0519   0.604
0.615   0.0486   0.0504   0.593
0.643   0.0426   0.0481   0.569
0.664   0.0386   0.0466   0.550
0.694   0.0314   0.0433   0.502
0.712   0.0273   0.0416   0.468
0.745   0.0198   0.0381   0.387
0.762   0.0159   0.0361   0.336
0.794   0.0075   0.0315   0.188
0.819   0.0007   0.0276   0.022
0.843   -0.0063   0.0233   -0.228
0.872   -0.0150   0.0178   -0.734
