J       CT       CP       eta
0.160   0.0871   0.0490   0.284
0.202   0.0828   0.0492   0.340
0.239   0.0783   0.0493   0.381
0.279   0.0732   0.0491   0.416
0.325   0.0659   0.0481   0.445
0.358   0.0605   0.0470   0.461
0.401   0.0523   0.0449   0.467
0.448   0.0432   0.0421   0.459
0.475   0.0384   0.0405   0.450
0.531   0.0261   0.0356   0.389
0.559   0.0205   0.0333   0.345
0.608   0.0085   0.0277   0.187
0.648   -0.0012   0.0228   -0.034
0.682   -0.0096   0.0182   -0.361
0.720   -0.0190   0.0132   -1.038
0.763   -0.0296   0.0073   -3.073
