J       CT       CP       eta
0.422   0.0874   0.0683   0.540
0.449   0.0839   0.0683   0.551
0.474   0.0801   0.0680   0.559
0.499   0.0765   0.0677   0.563
0.524   0.0726   0.0673   0.566
0.549   0.0686   0.0667   0.565
0.572   0.0645   0.0659   0.560
0.601   0.0595   0.0650   0.550
0.624   0.0556   0.0640   0.543
0.654   0.0498   0.0623   0.523
0.678   0.0449   0.0606   0.502
0.698   0.0406   0.0591   0.479
0.726   0.0331   0.0557   0.432
0.754   0.0258   0.0520   0.374
0.774   0.0201   0.0489   0.317
0.806   0.0104   0.0434   0.194
0.824   0.0049   0.0402   0.099
0.853   -0.0039   0.0354   -0.094
0.879   -0.0111   0.0310   -0.313
0.903   -0.0177   0.0269   -0.593
0.930   -0.0256   0.0219   -1.087
0.957   -0.0330   0.0169   -1.869
