J       CT       CP       eta
0.147   0.1129   0.0663   0.250
0.179   0.1101   0.0667   0.295
0.218   0.1063   0.0670   0.346
0.251   0.0979   0.0670   0.367
0.286   0.0933   0.0668   0.400
0.325   0.0881   0.0661   0.432
0.360   0.0836   0.0654   0.461
0.391   0.0793   0.0647   0.479
0.424   0.0736   0.0633   0.493
0.464   0.0678   0.0625   0.504
0.505   0.0625   0.0613   0.514
0.537   0.0579   0.0603   0.516
0.576   0.0506   0.0580   0.502
0.603   0.0454   0.0560   0.489
0.643   0.0380   0.0532   0.460
0.675   0.0319   0.0506   0.425
0.713   0.0231   0.0466   0.354
