J       CT       CP       eta
0.092   0.1190   0.0663   0.165
0.111   0.1174   0.0667   0.195
0.128   0.1146   0.0664   0.220
0.153   0.1126   0.0665   0.259
0.177   0.1108   0.0668   0.294
0.199   0.1099   0.0672   0.325
0.222   0.1076   0.0671   0.356
0.242   0.1051   0.0670   0.381
0.266   0.1023   0.0669   0.407
0.288   0.0991   0.0664   0.430
0.310   0.0968   0.0665   0.451
0.332   0.0940   0.0662   0.471
0.355   0.0913   0.0660   0.491
0.375   0.0881   0.0654   0.506
0.397   0.0849   0.0649   0.520
0.419   0.0823   0.0646   0.535
0.440   0.0794   0.0641   0.545
