J       CT       CP       eta
0.445   0.0666   0.0646   0.459
0.473   0.0626   0.0637   0.465
0.499   0.0584   0.0627   0.465
0.524   0.0541   0.0614   0.462
0.549   0.0500   0.0602   0.456
0.581   0.0441   0.0583   0.440
0.606   0.0396   0.0569   0.421
0.630   0.0352   0.0553   0.401
0.655   0.0301   0.0534   0.368
0.682   0.0242   0.0513   0.321
0.712   0.0173   0.0488   0.252
0.737   0.0111   0.0467   0.176
0.766   0.0032   0.0442   0.056
0.791   -0.0036   0.0419   -0.067
0.816   -0.0107   0.0395   -0.222
0.846   -0.0191   0.0368   -0.439
0.868   -0.0252   0.0347   -0.630
0.901   -0.0345   0.0314   -0.989
0.924   -0.0405   0.0292   -1.281
0.954   -0.0485   0.0265   -1.748
0.974   -0.0531   0.0250   -2.071
