J       CT       CP       eta
0.407   0.0742   0.0663   0.456
0.432   0.0703   0.0653   0.465
0.455   0.0668   0.0646   0.470
0.479   0.0630   0.0638   0.473
0.502   0.0596   0.0630   0.474
0.525   0.0554   0.0618   0.471
0.556   0.0503   0.0603   0.464
0.574   0.0468   0.0591   0.455
0.598   0.0424   0.0579   0.438
0.620   0.0379   0.0561   0.420
0.648   0.0325   0.0543   0.388
0.676   0.0263   0.0521   0.342
0.697   0.0218   0.0505   0.301
0.719   0.0165   0.0485   0.244
0.747   0.0095   0.0463   0.153
0.770   0.0030   0.0442   0.052
0.791   -0.0026   0.0424   -0.048
0.818   -0.0104   0.0398   -0.213
0.842   -0.0169   0.0379   -0.376
0.862   -0.0221   0.0362   -0.526
0.893   -0.0309   0.0331   -0.832
0.914   -0.0364   0.0312   -1.064
0.936   -0.0421   0.0292   -1.349
