J       CT       CP       eta
0.403   0.0579   0.0412   0.566
0.428   0.0537   0.0401   0.572
0.451   0.0492   0.0389   0.570
0.473   0.0445   0.0373   0.564
0.496   0.0403   0.0361   0.554
0.523   0.0332   0.0332   0.523
0.544   0.0285   0.0313   0.496
0.567   0.0228   0.0288   0.449
0.596   0.0153   0.0254   0.359
0.618   0.0100   0.0231   0.269
0.646   0.0027   0.0196   0.090
0.664   -0.0011   0.0177   -0.043
0.693   -0.0088   0.0138   -0.442
0.717   -0.0149   0.0105   -1.022
0.742   -0.0211   0.0069   -2.277
