J       CT       CP       eta
0.115   0.1170   0.0595   0.227
0.144   0.1152   0.0601   0.276
0.171   0.1143   0.0610   0.321
0.202   0.1121   0.0618   0.366
0.229   0.1095   0.0621   0.404
0.260   0.1063   0.0626   0.441
0.288   0.1029   0.0626   0.473
0.319   0.0995   0.0631   0.503
0.347   0.0960   0.0631   0.528
0.375   0.0916   0.0629   0.547
0.404   0.0874   0.0626   0.564
0.431   0.0832   0.0622   0.576
0.455   0.0793   0.0617   0.585
0.484   0.0738   0.0604   0.592
0.510   0.0692   0.0593   0.595
0.542   0.0626   0.0572   0.592
0.573   0.0563   0.0552   0.584
