J       CT       CP       eta
0.075   0.0764   0.0298   0.193
0.096   0.0743   0.0298   0.239
0.117   0.0721   0.0297   0.284
0.141   0.0694   0.0297   0.331
0.163   0.0669   0.0295   0.370
0.185   0.0640   0.0292   0.404
0.209   0.0610   0.0291   0.438
0.231   0.0579   0.0288   0.465
0.255   0.0547   0.0286   0.488
0.276   0.0517   0.0282   0.506
0.300   0.0476   0.0274   0.520
0.320   0.0442   0.0268   0.529
0.342   0.0406   0.0261   0.532
0.365   0.0367   0.0254   0.529
0.383   0.0337   0.0248   0.522
0.411   0.0285   0.0234   0.500
0.430   0.0249   0.0223   0.479
