J       CT       CP       eta
0.439   0.0806   0.0589   0.600
0.468   0.0756   0.0580   0.611
0.490   0.0717   0.0570   0.617
0.517   0.0664   0.0554   0.620
0.547   0.0609   0.0538   0.620
0.564   0.0570   0.0523   0.615
0.599   0.0498   0.0496   0.601
0.617   0.0451   0.0475   0.586
0.655   0.0364   0.0438   0.544
0.677   0.0312   0.0416   0.507
0.705   0.0249   0.0387   0.453
0.731   0.0184   0.0354   0.381
0.761   0.0102   0.0307   0.253
0.791   0.0016   0.0257   0.049
0.815   -0.0049   0.0219   -0.181
0.845   -0.0130   0.0170   -0.646
0.870   -0.0198   0.0127   -1.356
