J       CT       CP       eta
0.112   0.0754   0.0392   0.215
0.143   0.0737   0.0405   0.260
0.176   0.0681   0.0399   0.300
0.206   0.0641   0.0398   0.331
0.232   0.0601   0.0394   0.354
0.261   0.0560   0.0388   0.376
0.295   0.0502   0.0378   0.392
0.320   0.0468   0.0372   0.402
0.354   0.0400   0.0352   0.402
0.385   0.0348   0.0340   0.394
0.412   0.0299   0.0327   0.377
0.439   0.0247   0.0310   0.350
0.471   0.0183   0.0289   0.298
0.497   0.0114   0.0268   0.211
0.528   0.0051   0.0246   0.110
0.554   -0.0014   0.0225   -0.034
0.583   -0.0076   0.0199   -0.224
