J       CT       CP       eta
0.420   0.0805   0.0600   0.563
0.445   0.0763   0.0595   0.571
0.470   0.0720   0.0587   0.577
0.496   0.0672   0.0576   0.578
0.519   0.0625   0.0567   0.572
0.548   0.0565   0.0549   0.564
0.572   0.0517   0.0533   0.555
0.599   0.0453   0.0509   0.533
0.624   0.0397   0.0487   0.509
0.651   0.0331   0.0458   0.471
0.669   0.0290   0.0438   0.442
0.699   0.0210   0.0401   0.366
0.730   0.0131   0.0360   0.265
0.745   0.0089   0.0338   0.196
0.781   -0.0005   0.0288   -0.015
0.806   -0.0070   0.0252   -0.226
0.833   -0.0139   0.0213   -0.542
0.858   -0.0204   0.0176   -0.996
0.884   -0.0275   0.0131   -1.849
